Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
US20050035136,18.02.2005,Food distribution system,[10617425 2003-07-11T23:59:59.000Z US],G07F 11/68;B65H 5/28;A47F 1/00;A47F 1/04;G07F 9/10;G07F 9/10;G07F 11/00;G07F 11/72;G07F 13/10;G07F 13/10,NA,Dathe Paul;Kells Dion L.,NA
US20050031733,11.02.2005,Compositions and methods relating to freezer-to-oven doughs,[10636787 2003-08-07T23:59:59.000Z US],A21D 8/04;A21D 2/00;A21D 2/26;A21D 6/00;A21D 6/00;A21D 8/02;A21D 8/02;A21D 8/04;A21D 10/00;A21D 10/02,"General Mills, Inc.",Domingues David J.;Hoel Vicky V.;McIntyre Tammy L.;Moder Gregg J.,NA
US20060118609,09.06.2006,Mailbox display system,[10005650 2004-12-06T23:59:59.000Z US],A47G 29/00;A47G 29/12,IANNELLO JOSEPH,Iannello Joseph,NA
US7001170,22.02.2006,Dough press with dual lower platens,"[10236630 2002-09-06T23:59:59.000Z US, 10655392 2003-09-04T23:59:59.000Z US]",A21C 11/00;A21C 11/00,"Somerset Industries, Inc.",Voyatzakis Andrew D.;Athanasiadis George,NA
US20050056272,18.03.2005,Portable solar heater and method for using the same,[10663114 2003-09-16T23:59:59.000Z US],F24J 2/42;B60R 11/00;B60R 11/00;E04D 13/18;E04D 13/18;F24J 2/04;F24J 2/04;F24J 2/34;F24J 2/42;F24J 2/42,DURBIN RICKY L.,Durbin Ricky L.,NA
US20050075934,08.04.2005,Nutritional assistant for kiosk,"[10912592 2004-08-04T23:59:59.000Z US, 60492522 2003-08-04T23:59:59.000Z US]",A23L 1/30;A23L 1/29;A23L 1/29;A23L 1/30;A23L 1/30,NA,Knight Paul;Salmen Larry,NA
US20050147714,08.07.2005,Dough composition,[10636787 2003-08-07T23:59:59.000Z US],A21D 10/00;A21D 10/00;A21D 2/00;A21D 2/26;A21D 6/00;A21D 6/00;A21D 8/02;A21D 8/02;A21D 8/04;A21D 10/02,"General Mills Marketing, Inc.",Domingues David J.;Hoel Vicky V.;McIntyre Tammy L.;Moder Gregg J.,NA
US20050148265,08.07.2005,HIGH TEMPERATURE MICROWAVE SUSCEPTOR STRUCTURE,[10749960 2003-12-31T23:59:59.000Z US],B32B 27/12;B32B 27/12;B32B 27/12;B65D 81/34;B65D 81/34;D06M 11/00;D06M 11/74;D06M 15/01;D06M 15/15;D06N 3/00;D06N 3/00;D06N 3/18;D21H 19/00;D21H 19/38;D21H 19/50;D21H 19/82;D21H 27/10;D21H 27/10;H05B 6/64;H05B 6/64,BLANKENBECKLER NICOLE L.;CHI CHENG H.;PALMER GEORGE B.,Blankenbeckler Nicole L.;Chi Cheng Hang;Palmer George B.,NA
US7024205,05.04.2006,Subscriber delivered location-based services,[09119493 1998-07-20T23:59:59.000Z US],H04M 3/42;H04M 3/42;H04W 4/02;H04W 4/02;H04W 8/18;H04W 8/18,Openwave Systems Inc.,Hose David,NA
US20050153016,15.07.2005,Dough composition,[10636787 2003-08-07T23:59:59.000Z US],A21D 10/00;A21D 10/00;A21D 2/00;A21D 2/26;A21D 6/00;A21D 6/00;A21D 8/02;A21D 8/02;A21D 8/04;A21D 10/02,"General Mills Marketing, Inc.",Domingues David J.;Hoel Vicky V.;McIntyre Tammy L.;Moder Gregg J.,NA
US20060028475,10.02.2006,"Persistent, immersible and extractable avatars",NA,G06T 13/00;G06T 13/00;G06F 3/048;G06F 3/048,"Elite Avatars, Inc.",Tobias Richard Lynn,NA
US20070136086,15.06.2007,SYSTEM AND METHOD FOR PROVIDING LOCATION-BASED INFORMATION TO A MOBILE DEVICE,[60727409 2005-10-17T23:59:59.000Z US],G06Q 99/00;G06Q 99/00,LUERSSEN BRIAN T,Luerssen Brian T.,NA
US20070041363,23.02.2007,Search and navigation method within voice over internet protocol (VOIP) advertisements player,[11207537 2005-08-19T23:59:59.000Z US],H04L 12/66;H04L 12/66,FERRAS PETER J,Ferras Peter J.,NA
US20060208049,22.09.2006,Dual compartment container,NA,B65D 25/04;B65D 25/04,"Kraft Foods Holdings, Inc.",Duerson Michael G.;Schultz Bradley;Gerstner John D.,NA
US20070166446,20.07.2007,Method for producing a gluten-based baked product,[04001470 2004-02-13T23:59:59.000Z FR],A21D 10/00;A21D 10/00;A21D 2/00;A21D 2/18;A21D 8/02;A21D 8/02;A21D 13/00;A21D 13/00,ROQUETTE FRERES,Boursier Bernard,NA
US20060193948,01.09.2006,Yeast packaging,"[03008349 2003-04-10T23:59:59.000Z EP, 03029589 2003-12-23T23:59:59.000Z EP]",C12N 1/18;C12N 1/18;A21D 8/02;A21D 8/04;C12N 1/16;C12N 1/16,LeSaffre et Compagnie,Smet Peter Ren_  Anna;Blomme Karel Alfons Frans;Van Eetvelde Gabriel Petrus,NA
US7140864,29.11.2006,Tortilla forming machine,[60462492 2003-04-14T23:59:59.000Z US],A21C 11/00,"Poquito Mas, Inc.",McCarney Kevin T.,NA
US20060098793,12.05.2006,Dynamic content delivery,[10983558 2004-11-08T23:59:59.000Z US],H04M 11/00;H04M 3/00;H04M 3/00;H04M 11/00,Avaya Technology Corp.,Erhart George William;Matula Valentine C.;Skiba David Joseph,NA
US20060184625,18.08.2006,Short query-based system and method for content searching,"[11345610 2006-01-31T23:59:59.000Z US, 60648731 2005-01-31T23:59:59.000Z US, 60648733 2005-01-31T23:59:59.000Z US, 60648959 2005-01-31T23:59:59.000Z US]",G06F 15/16;G06F 15/16,NORDVIK MARKUS A;THET ZAW L;STACHOWIAK MICHAEL S,Nordvik Markus A.;Thet Zaw L.;Stachowiak Michael S.,NA
US20060257581,17.11.2006,Spraying system for progressive spraying of non-rectangular objects,[11127960 2005-05-12T23:59:59.000Z US],C23C 16/52;C23C 16/52;B05C 11/00;B05C 11/00;B05D 1/02;B05D 1/02,Spraying Systems Co.;Spraying Systems Co.,Wulteputte Lieven,NA
US20060283924,22.12.2006,Self erecting advertising and/or fundraising box and method,[60677163 2005-05-03T23:59:59.000Z US],B65D 5/36;B65D 5/36,MCDANIEL WILLIAM K JR;FERLITO THOMAS J,McDaniel William K.;Ferlito Thomas J.,NA
US20060154354,14.07.2006,High yield pertussis vaccine production strain and method for making same,NA,A61K 39/02;A61K 39/02;A01N 63/00;A01N 63/00,The United States of America as represented by the Department of Health and Human Services,Merkel Tod J.;Keith Jerry M.;Yang Xiaoming,NA
US20060174136,04.08.2006,Recording transactional information relating to an object,NA,G06F 12/14,"Lyons Nicholas P.;Hewlett-Packard Development Company, L.P.;Bhatti Nina T.",Lyons Nicholas P.;Bhatti Nina T.,NA
US20070011182,12.01.2007,Content integration platform with format and protocol conversion,NA,H03M 7/32;H03M 7/34,"Era Digital Media Co., Ltd.",Chiu Fu-Sheng,NA
US20070011604,12.01.2007,Content integration with format and protocol conversion system,[11172784 2005-07-05T23:59:59.000Z US],G06F 17/00;G06F 17/00,CHIU FU-SHENG,Chiu Fu-Sheng,NA
US7072454,05.07.2006,Methods and systems for billing and routing local toll-free calls,"[09498684 2000-02-07T23:59:59.000Z US, 10669923 2003-09-24T23:59:59.000Z US]",H04M 15/00;H04M 15/00,BellSouth Intellectual Property Corporation,Ward Jonathan O.,NA
US20080217266,12.09.2008,Turntable oven rack,NA,A47F 3/08,"Electrolux Home Products, Inc.",Doyal Timothy P.,NA
US20080162367,04.07.2008,System for networked media distribution,"[11001614 2007-12-12T23:59:59.000Z US, 60869785 2006-12-13T23:59:59.000Z US]",G06Q 30/00;G06Q 30/00;G06Q 10/00;G06Q 10/00;H04L 9/32;H04L 9/32,PITZER ROBERT HERRY;HARRIMAN CHRIS;LINNEN MICHAEL J,Pitzer Robert Herry;Harriman Chris;Linnen Michael J.,NA
US20070039951,23.02.2007,Variable serving size insulated packaging,NA,H05B 6/80;H05B 6/80,"Graphic Packaging International, Inc.",Cole Lorin R.,NA
US20070286904,14.12.2007,STRUCTURED MATERIALS,[11216695 2005-08-31T23:59:59.000Z US],A61K 9/14;A61K 9/14;A23D 9/00;A23D 9/00;A23L 1/22;A23L 1/22;A61K 8/02;A61K 8/02;A61P 43/00;A61P 43/00;C11D 17/00;C11D 17/00,POPPLEWELL LEWIS M;HENSON LULU,Popplewell Lewis Michael;Henson Lulu,NA
US20080063773,14.03.2008,Method and apparatus for cooking low fat french fries,[1355302 2002-01-25T23:59:59.000Z AU],A23L 1/01;A23L 1/01,MAGUIRE JAMES EDWARD,Maguire James Edward,NA
US20080249866,10.10.2008,GENERATING CUSTOMIZED MARKETING CONTENT FOR UPSALE OF ITEMS,[11695983 2007-04-03T23:59:59.000Z US],G06Q 30/00;G06Q 30/00,ANGELL ROBERT LEE;KRAEMER JAMES R,Angell Robert Lee;Kraemer James R.,NA
US20080249865,10.10.2008,RECIPE AND PROJECT BASED MARKETING AND GUIDED SELLING IN A RETAIL STORE ENVIRONMENT,[11695983 2007-04-03T23:59:59.000Z US],G06Q 30/00;G06Q 30/00,ANGELL ROBERT LEE;KRAEMER JAMES R,Angell Robert Lee;Kraemer James R.,NA
US20080249864,10.10.2008,GENERATING CUSTOMIZED MARKETING CONTENT TO IMPROVE CROSS SALE OF RELATED ITEMS,[11695983 2007-04-03T23:59:59.000Z US],G06Q 30/00;G06Q 30/00,ANGELL ROBERT LEE;KRAEMER JAMES R,Angell Robert Lee;Kraemer James R.,NA
US20080223860,19.09.2008,Cookware,[0504195 2005-02-03T23:59:59.000Z GB],A47J 37/01;A47J 37/01;A47J 36/02;A47J 36/02;A47J 39/00;A47J 39/00,RUTHERFORD STEPHEN GRAHAM;JOHNS JAMES HAROLD,Rutherford Stephen Graham;Johns James Harold,NA
US20080040242,15.02.2008,Interactive physical mail content management,NA,G06F 19/00;G06F 19/00;G06F 17/00;G06F 17/00;G06Q 30/00;G06Q 30/00;G06Q 90/00;G06Q 90/00;G07B 17/00;G07B 17/02;G08B 13/02;G08B 13/08;G08B 13/12;G08B 13/14;G08B 13/14,International Business Machines Corporation,Chang David Yu;Chang John Yow-Chun;Venkataramappa Vishwanath,NA
US20080110877,16.05.2008,Variable serving size insulated packaging,NA,H05B 6/80;H05B 6/80,"Graphic Packaging International, Inc.",Cole Lorin R.,NA
US20080047542,29.02.2008,Slide-out half rack,NA,F24C 15/16,"Electrolux Home Products, Inc.",Hughes James,NA
US20080047915,29.02.2008,BAKING STONE RACK,NA,A47F 5/08;A47F 5/08,"ELECTROLUX HOME PRODUCTS, INC.",PARKS CECILIA MUNSON;GREEN DANIEL HARTLEY,NA
US20080048376,29.02.2008,Plastic products containing images and methods of manufacture related thereto,[60833704 2006-07-27T23:59:59.000Z US],B23Q 3/00;B23Q 3/00;C09J 163/00;C09J 163/00,FARMER STEVEN S;DAILEY BARRY R,Farmer Steven S.;Dailey Barry R.,NA
US20080029503,08.02.2008,Method for cooking a food with infrared radiant heat,NA,A21B 1/00;A21B 1/00;F21V 9/00;F21V 9/00;F24C 7/04;F24C 7/04;F27D 11/00;F27D 11/00,"Applica Consumer Products, Inc.",Cavada Luis;Noriega Alvaro Vallejo,NA
US20080018335,25.01.2008,METHOD AND APPARATUS FOR OBTAINING ELECTRICAL IMAGES OF A BOREHOLE WALL THROUGH NONCONDUCTIVE MUD,[10244340 2002-09-16T23:59:59.000Z US],G01V 3/18;G01V 3/18;G01V 3/20,CHEMALI ROLAND;SCHOCH PETER J;YARATICH MICHAEL A,Chemali Roland;Schoch Peter J.;Yaratich Michael Andrew,NA
US20080020736,25.01.2008,METHOD AND DEVICE FOR PERFORMING INTEGRATION SEARCH IN MOBILE COMMUNICATION TERMINAL,[1020060069115 2006-07-24T23:59:59.000Z KR],H04M 1/00;H04M 1/00;H04M 3/42;H04M 3/42,"Samsung Electronics Co., Ltd.",KIM Young Mi;Hwang Byeong Cheol;Jeon Jin Young;Jeong Seok Hyun;Chang Min Young,NA
US20080125967,30.05.2008,System and method for sending destination locations to navigation devices,NA,G01C 21/34;G01C 21/34;G01S 5/00;G01S 5/00,QUALCOMM Incorporated,Sprigg Stephen A.,NA
US20090264848,23.10.2009,Methodology for presenting competitor favoritism,NA,A61F 13/15;A61F 13/15,D AURIA JOHN J;D AURIA NELL T,D'Auria John J.;D'Auria Nell T.,NA
US20090119180,08.05.2009,Food on demand channel and interactive website commercial,NA,G06Q 30/00;G06Q 30/00,NA,Moravsky Robert J.;Moravsky Kelly P.,NA
US7376433,21.05.2008,Subscriber delivered location-based services,"[09119493 1998-07-20T23:59:59.000Z US, 09707079 2000-11-06T23:59:59.000Z US, 10016533 2004-12-17T23:59:59.000Z US]",H04W 4/02;H04W 4/02;H04W 8/18;H04W 8/18;H04W 48/00;H04W 48/14,Openwave Systems Inc.,Hose David,NA
US20090018841,16.01.2009,Method and apparatus for remote playback of personalized and non-personalized audio messages,"[11217844 2008-07-08T23:59:59.000Z US, 60959256 2007-07-12T23:59:59.000Z US]",G10L 11/00;G10L 11/00,LEEDS MARSHALL T;CAMACHO SUSAN M;JACOBS STEVEN C,Leeds Marshall T.;Camacho Susan M.;Jacobs Steven C.,NA
US20090271106,30.10.2009,"Navigation configuration for a motor vehicle, motor vehicle having a navigation system, and method for determining a route",NA,G01C 21/34;G01C 21/34;G06F 17/30;G06F 17/30,"VOLKSWAGEN OF AMERICA, INC.",Mishra Rohit;Kim Edward;Zhang Zhaoxia;Gerdes Arati,NA
US20090272736,06.11.2009,Variable serving size insulated packaging,NA,H05B 6/80;B65D 81/34;H05B 6/80;H05B 6/80,"Graphic Packaging International, Inc.",Cole Lorin R.,NA
US20090319182,25.12.2009,"USER POSITIONING GUIDANCE SYSTEM, DEVICES, AND METHODS",NA,G06G 7/00;G06G 7/78;G06F 17/30;G06F 17/30,MONTEVERDE DANTE,Monteverde Dante,NA
US20090323919,01.01.2010,System and method for providing advanced call forwarding functionality,NA,H04M 3/42;G10L 21/00,"Embarq Holdings Company, LP",Toner Victoria M.;Hawkins Johnny;Schermerhorn Rich;Gupta Shekhar;Roberts Mike A.,NA
US20090076906,20.03.2009,System and method for providing advertisement data to a mobile computing device,NA,G06Q 30/00;G06Q 30/00;G06F 17/00;G06F 17/00,"Palm, Inc.",Kansal Sachin S.;Daetz David D.,NA
US20090240677,25.09.2009,Personalizing sponsored search advertising layout using user behavior history,NA,G06F 17/30,Parekh Rajesh;Yahoo! Inc.;Parmar Jignesh;Berkhin Pavel,Parekh Rajesh;Parmar Jignesh;Berkhin Pavel,NA
US20090164450,26.06.2009,Systems and methods of ranking attention,NA,G06F 17/30;G06F 17/30,Yahoo! Inc.,Martinez Ronald;Davis Marc Eliot;Higgins Christopher William;O'Sullivan Joseph James,NA
US20080291205,28.11.2008,Digital Mapping System,"[11051534 2005-02-05T23:59:59.000Z US, 11127815 2008-05-27T23:59:59.000Z US, 11567054 2006-12-05T23:59:59.000Z US, 60555501 2004-03-23T23:59:59.000Z US, 60567946 2004-05-03T23:59:59.000Z US]",G06T 11/20;G06T 11/20;G01C 21/28;G01C 21/32;G01C 21/34;G01C 21/36;G06F 17/30;G06F 17/30;G09B 29/10;G09B 29/10;G09G 5/00;G09G 5/00,RASMUSSEN JENS EILSTRUP;RASMUSSEN LARS EILSTRUP;TAYLOR BRET STEVEN;NORRIS JAMES CHRISTOPHER;MA STEPHEN;KIRMSE ANDREW ROBERT;GORDON NOEL PHILLIP;LAFORGE SETH MICHAEL,Rasmussen Jens Eilstrup;Rasmussen Lars Eilstrup;Taylor Bret Steven;Norris James Christopher;Ma Stephen;Kirmse Andrew Robert;Gordon Noel Phillip;LaForge Seth Michael,NA
US20080250337,10.10.2008,Identifying interesting locations based on commonalities in location based postings,NA,G06F 3/048;G06F 3/048,Nokia Corporation,Lemmela Saija;Korhonen Hannu J;Vetek Akos,NA
US20080082424,04.04.2008,SYSTEM FOR OPTIMIZING PICKUP OF GOODS BY A PURCHASER FROM A VENDOR USING LOCATION-BASED ADVERTISING,NA,G06Q 30/00;G06Q 30/00,WALTON MATTHEW,Walton Matthew,NA
US20110026697,04.02.2011,METHOD AND SYSTEM FOR DETERMINING GENDER AND TARGETING ADVERTISING IN A TELEPHONE SYSTEM,NA,H04M 15/00,Vanier Andre Denis;Vanier Dinoo Jal;Slemmer Michael W.;Jawdat Faisal N.,Vanier Andre Denis;Vanier Dinoo Jal;Slemmer Michael W.;Jawdat Faisal N.,NA
US20110022315,28.01.2011,System and method for sending destination locations to navigation devices,NA,G01C 21/00,QUALCOMM Incorporated,Sprigg Stephen A.,NA
US20100084355,09.04.2010,Baking stone rack,NA,F24C 15/16;A47F 5/08,"Parks Cecilia Munson;Electrolux Home Products, Inc.;Green Daniel Hartly",Parks Cecilia Munson;Green Daniel Hartly,NA
US7792257,08.09.2010,Method and system for determining gender and targeting advertising in a telephone system,NA,H04M 15/00,VANIER ANDRE DENIS;VANIER DINOO JAL;SLEMMER MICHAEL W;JAWDAT FAISAL N,Vanier Andre Denis;Vanier Dinoo Jal;Slemmer Michael W.;Jawdat Faisal N.,NA
US20110101054,06.05.2011,CARGO SLING SYSTEMS,NA,B60R 7/00,Wicinski Daria,Wicinski Daria,NA
US20110114715,20.05.2011,Triangular vented tray,NA,B65D 5/42;B65D 5/00;B31B 49/02;B65D 5/68;B65D 81/34;B65D 5/20,"House Richard F.;Graphic Packaging International, Inc.",House Richard F.,NA
US20100080368,02.04.2010,Determining a use context for a telecommunications terminal user,NA,H04M 11/00,Avaya Inc.,Erhart George William;Matula Valentine C.;Skiba David Joseph,NA
US20110048244,04.03.2011,APPARATUS AND METHOD FOR CONTROLLING A COMBUSTION BLOWER IN A GAS-FUELED CONVEYOR OVEN,NA,A47J 37/00;F24C 15/00;A21B 1/48;G05D 23/00,Wiker John H.,Wiker John H.,NA
US20110059217,11.03.2011,HIGH PRESSURE FROZEN STERILIZATION PROCESS,NA,A23L 3/015;A23L 3/36;F25D 25/00,Meyer Richard S.,Meyer Richard S.,NA
US20100174553,09.07.2010,Diabetes Therapy Management System,NA,G06Q 50/00,"MEDTRONIC MINIMED, INC.",Kaufman Francine R.;Lee Scott W.;Wenstad Hans K.;Cohen Gary;Ko Kenneth C.;Kannard Brian T.;Cooper Kenneth W.;Nogueira Keith;Liang Bradley C.;Shah Rajiv,NA
US20100160740,25.06.2010,Use of Patterns in a Therapy Management System,NA,A61B 5/00,COHEN GARY;GETSCHMANN KRISTEN;RAMAN VIDYA;KO KENNETH;NAIR BIJU;TALBOT CARY;NITZAN TAMIR;KOVELMAN PAUL H;HESS BEE,Cohen Gary;Getschmann Kristen;Raman Vidya;Ko Kenneth;Nair Biju;Talbot Cary;Nitzan Tamir;Kovelman Paul H.;Hess Bee,NA
US20100161236,25.06.2010,Pattern Recognition and Filtering in a Therapy Management System,NA,G01N 33/48;G06F 19/00,COHEN GARY;GETSCHMANN KRISTEN;RAMAN VIDYA;KO KENNETH;NAIR BIJU;TALBOT CARY;NITZAN TAMIR;KOVELMAN PAUL H;HESS BEE,Cohen Gary;Getschmann Kristen;Raman Vidya;Ko Kenneth;Nair Biju;Talbot Cary;Nitzan Tamir;Kovelman Paul H.;Hess Bee,NA
US20100161346,25.06.2010,Systems and Methods for Providing Bolus Dosage Recommendations,NA,G06Q 50/00;G06Q 50/00,GETSCHMANN KRISTEN;CHEN ERIC S,Getschmann Kristen;Chen Eric S.,NA
US20110137766,10.06.2011,Digital mapping system,NA,G01C 21/30,Google Inc.,Rasmussen Jens Eilstrup;Rasmussen Lars Eilstrup;Taylor Bret Steven;Norris James Christopher;Ma Stephen;Kirmse Andrew Robert;Gordon Noel Phillip;LaForge Seth Michael,NA
US20100139906,11.06.2010,Drop-in passive thermal insert for food service counters,[12329795 2008-12-08T23:59:59.000Z US],A47J 39/00,"Kohl Korey V.;Prince Castle, LLC;Iverson Robert A.;Veltrop Loren;Lyons Christopher B.;Van Erden Donald",Kohl Korey V.;Iverson Robert A.;Veltrop Loren;Lyons Christopher B.;Van Erden Donald,NA
US7826605,03.11.2010,Method and system for integrating information from wireless and landline telephone systems,NA,H04M 3/42,VANIER ANDRE DENIS;VANIER DINOO JAL;SLEMMER MICHAEL W;JAWDAT FAISAL N,Vanier Andre Denis;Vanier Dinoo Jal;Slemmer Michael W.;Jawdat Faisal N.,NA
US20100201707,13.08.2010,Digital mapping system,NA,G01C 21/30;G09G 5/00;G01C 21/28;G01C 21/32;G01C 21/34;G01C 21/36;G06F 17/30;G06F 17/30;G09B 29/10;G09B 29/10,Google Inc.,Rasmussen Jens Eilstrup;Rasmussen Lars Eilstrup;Taylor Bret Steven;Norris James Christopher;Ma Stephen;Kirmse Andrew Robert;Gordon Noel Phillip;LaForge Seth Michael,NA
US20100251903,08.10.2010,Method and apparatus for cooking low fat French fries,NA,A47J 37/04;A47J 37/04;A47J 27/04;A47J 27/04,Maguire James Edward,Maguire James Edward,NA
US20110205936,26.08.2011,METHOD AND SYSTEM FOR INTEGRATING INFORMATION FROM WIRELESS AND LANDLINE TELEPHONE SYSTEMS,NA,H04L 12/16;H04M 1/56,Vanier Andre Denis;Vanier Dinoo Jal;Slemmer Michael W.;Jawdat Faisal N.,Vanier Andre Denis;Vanier Dinoo Jal;Slemmer Michael W.;Jawdat Faisal N.,NA
US20110216890,09.09.2011,Method and system for providing information and advertising content in a telephone system,NA,H04M 1/64,"Vanier Andre Denis;Grape Technology Group, Inc.;Vanier Dinoo Jal;Slemmer Michael W.;Jawdat Faisal N.",Vanier Andre Denis;Vanier Dinoo Jal;Slemmer Michael W.;Jawdat Faisal N.,NA
US20110265620,04.11.2011,Cutting Die Apparatus and Method,NA,B26D 7/18,Kicinski Aaron Duke;Burger Gregory Dean,Kicinski Aaron Duke;Burger Gregory Dean,NA
US20110313895,23.12.2011,METHOD FOR REFERRAL-BASED FINANCIAL TRANSACTION PROCESSING,NA,G06Q 40/00,Choi Danny K.;Choi Melinda A.,Choi Danny K.;Choi Melinda A.,NA
US20120075337,30.03.2012,Digital Mapping System,NA,G09G 5/00,Rasmussen Jens Eilstrup;Rasmussen Lars Eilstrup;Taylor Bret Steven;Norris James Christopher;Ma Stephen;Kirmse Andrew Robert;Gordon Noel Phillip;LaForge Seth Michael,Rasmussen Jens Eilstrup;Rasmussen Lars Eilstrup;Taylor Bret Steven;Norris James Christopher;Ma Stephen;Kirmse Andrew Robert;Gordon Noel Phillip;LaForge Seth Michael,NA
US20120016696,20.01.2012,Home-based Money Transaction Method,NA,G06Q 30/00;G06Q 10/00;G06K 7/00;G01S 19/42;G06F 3/048,Lee Huckjin,Lee Huckjin,NA
US20120053426,02.03.2012,SYSTEM AND METHOD FOR MEASURING CALORIE CONTENT OF A FOOD SAMPLE,NA,A61B 5/00;G01R 27/04;G06F 19/00,Webster Jack Mathew;Neculaes Vasile Bogdan,Webster Jack Mathew;Neculaes Vasile Bogdan,NA
US20110303100,16.12.2011,Conveyor Toaster with Air-Cooled Panels,NA,A47J 37/04;F28D 15/00,PRINCE CASTLE LLC,Agnello Frank;Veltrop Loren;Soldwisch Michael;Serena Thomas,NA
US20130097146,19.04.2013,PERSONALIZED RANKING OF CATEGORIZED SEARCH RESULTS,NA,G06F 17/30,"MEDIO SYSTEMS, INC.;MEDIO SYSTEMS, INC.",Lanphear Damon;Megraw Rodrick;Hendrick Daniel,NA
US20130104022,26.04.2013,SYSTEMS AND METHODS FOR AUTOMATICALLY FILLING-IN INFORMATION,NA,G06F 17/24,Coon Jonathan,Coon Jonathan,NA
US20120095146,20.04.2012,Waterborne coating composition comprising a polyester and a metal salt of a fatty acid,[09163965 2009-06-29T23:59:59.000Z EP],C09D 167/00;C09D 167/08;D21H 19/62;D21H 19/40;D21H 19/42,Schoenleitner Ernst;Akzo Nobel Coatings International B.V.;Schoenaker Berry;Smith Danny Elwood,Schoenleitner Ernst;Schoenaker Berry;Smith Danny Elwood,NA
US20120180775,20.07.2012,IMPINGEMENT OVEN WITH A PLURALITY OF VARIABLE AIRFLOW COOKING ZONES,NA,F24B 5/04,Waltz Derek Allen;Tyler P. Andrew;Nevarez Roberto;Jones Douglas S.;Claesson Jan;Dailey Thomas,Waltz Derek Allen;Tyler P. Andrew;Nevarez Roberto;Jones Douglas S.;Claesson Jan;Dailey Thomas,NA
US20120183660,20.07.2012,ISOMANNIDE DERIVATIVES AND THEIR USE AS TASTANTS,NA,A23L 1/226;C07D 493/04,Tachdjian Catherine;Adamski-Werner Sara L.;Yamamoto Jeffrey M.;Lang Hengyuan;Karanewsky Donald S.,Tachdjian Catherine;Adamski-Werner Sara L.;Yamamoto Jeffrey M.;Lang Hengyuan;Karanewsky Donald S.,NA
US20120239767,21.09.2012,Method to Change Instant Messaging Status Based on Text Entered During Conversation,NA,G06F 15/16,DeLuca Lisa Seacat,DeLuca Lisa Seacat,NA
US20120230924,14.09.2012,Indoline Derivatives And Their Use As Flavouring Agents,NA,A23L 1/236;A21D 13/00;A61Q 11/00;A23L 2/56;C07D 209/08;A61K 8/49;A23G 3/36;A23C 9/156,Bom David C.,Bom David C.,NA
