applicants_organisations_only, applicants_use_me, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_code, priority_country_name, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, title, title_phrases, url
"UNIV BEI HANG","UNIV BEI HANG","7","","","2","BAOQING WANG; HONGQING WANG; JINGJIA LU; LI ZHANG","G01B11/03; G01B11/24","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours","","CN","China","CN 201019114012 A","2010","CN","China","2010-7-14","CN 101776440 A","2010","Method For Assembling And Locating Web-type Wing Ribs On Basis Of Laser Measurement","Laser Measurement; Locating Web-type Wing Ribs","https://lens.org/082-712-066-325-546"
"","GUANGYAO GU","1","","","1","GUANGYAO GU","A01K47/04; A01K67/033","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","ã€Šç”Ÿç‰©å­¦é€šæŠ¥ã€‹ 20090731 çŽ‹æ‰¿èµ‹ èœ‚ç¾¤çš„åˆ†èœ‚è¡Œä¸ºåŠå…¶å½±å“å› ç´  ç¬¬12-15é¡µ 1-7 ç¬¬44å·, ç¬¬7æœŸ 2;;ã€Šä¸­å›½èœ‚ä¸šã€‹ 19900430 å´”å†› é›„èœ‚è›¹ç”Ÿäº§æŠ€æœ¯ ç¬¬14-15é¡µ 1-7 , ç¬¬2æœŸ 2;;ã€Šä¸­å›½å…»èœ‚ã€‹ 19960228 æ—¶å¤©æ’ é›„èœ‚è›¹ç”Ÿäº§æ–¹æ³•çš„æ”¹è¿› ç¬¬7é¡µ 1-7 , ç¬¬1æœŸ 2;;ã€Šèœœèœ‚æ‚å¿—ã€‹ 20020228 å¼ ä¸–ç‚Ž é›„èœ‚è›¹çš„ç”Ÿäº§æŠ€æœ¯ ç¬¬13é¡µ 1-7 , ç¬¬2æœŸ 2","CN","China","CN 201010165317 A","2010","CN","China","2010-9-8","CN 101822226 A","2010","Production Method Of Holandric Honeycomb And Fresh And Alive Pure Drone Pupa","Alive Pure Drone Pupa; Holandric Honeycomb; production Method","https://lens.org/134-275-305-760-230"
"CANCER INST CAMS","CANCER INST CAMS","0","","","1","HAI HU; YULIANG RAN; ZHIHUA YANG","A61K39/395; A61P35/00","Medical","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations","","CN","China","CN 200910078718 A","2009","CN","China","2010-9-8","CN 101822831 A","2010","Application Of Transfer Stimulating Factor As New Tumor Blood Vessel Drone In Antitumor Medicine Screening","Antitumor Medicine Screening; New Tumor Blood Vessel Drone; Transfer Stimulating Factor","https://lens.org/103-508-194-276-066"
"JIANGXI AGRICULTURAL UNIVERSITY INST OF BEE; LANXI HONGXIANG BIO TECHNOLOGY CO LTD","JIANGXI AGRICULTURAL UNIVERSITY INST OF BEE; LANXI HONGXIANG BIO TECHNOLOGY CO LTD","4","","","1","LIHUA CHEN; XUJIANG HE; ZENG ZHIJIANG; ZHIPING WANG","A01K67/033","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","CN","China","CN 201010181517 A","2010","CN","China","2010-10-6","CN 101849529 A","2010","Method For Breeding High-quality Anti-mite Bee Variety","Breeding High-quality Anti-mite Bee Variety","https://lens.org/033-617-454-875-280"
"UNIV ZHEJIANG","UNIV ZHEJIANG","5","","","2","CIJUN YU; CUIPING KONG; JIANGXIONG LI; KEKE BIAN; QING WANG; WEIWAI QU; XIMIN SONG; XINTIAN FAN; YINGLIN KE; YINGWU REN","G01B11/00; G01B11/26; G01B11/27; G01B11/30","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours","ã€Šèˆªç©ºåˆ¶é€ æŠ€æœ¯ã€‹ 20041231 çŽ‹å·ç­‰ æ¿€å…‰è·Ÿè¸ªä»ªåœ¨é£žæœºè£…é…å·¥è£…åˆ¶é€ ä¸­çš„åº”ç”¨ ç¬¬81-84é¡µ 1-3 , ç¬¬12æœŸ 2","CN","China","CN 201010136772 A","2010","CN","China","2010-10-20","CN 101865653 A","2010","Method For Measuring Precision Of 1# Frame Of Plane General Assembly","1# Frame; Plane General Assembly","https://lens.org/031-085-953-594-005"
"","DEREN TAN","3","","","1","DEREN TAN","C12G3/04","Biochemistry","C12G: Chemistry; Metallurgy -> Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering -> Wine; Other Alcoholic Beverages; Preparation Thereof","","CN","China","CN 200910203233 A","2009","CN","China","2010-12-1","CN 101899377 A","2010","Queen Bee Wine And Brewing Method Thereof","queen Bee Wine","https://lens.org/110-279-776-785-108"
"CHANGCHUN OPTICS FINE MECH","CHANGCHUN OPTICS FINE MECH","0","","","2","BO ZHANG; FEI NING; SUSHENG WEI; XIANGHENG SHEN; YINGYING GU","G01C1/02; G01C25/00","Measuring","G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","ã€Šèˆªç©ºè®¡ç®—æŠ€æœ¯ã€‹ 20050930 æ¢è€€ç­‰ æµ‹é‡ç”µè§†çš„è‡ªåŠ¨è°ƒç„¦ç³»ç»Ÿå®žçŽ° å…¨æ–‡ 1 ç¬¬35å·, ç¬¬3æœŸ 2;;ã€Šæµ‹è¯•æŠ€æœ¯å­¦æŠ¥ã€‹ 20020630 å‘¨å…´ä¹‰ å…‰ç”µç»çº¬ä»ªæµ‹é‡ç”µè§†å®¤å†…é™æ€ç²¾åº¦æ£€æµ‹æ–¹æ³•çš„ç ”ç©¶ å…¨æ–‡ 1 ç¬¬16å·, 2","CN","China","CN 201010222834 A","2010","CN","China","2010-11-24","CN 101893446 A","2010","Detection Method For Measuring Television Camera Frame Frequency Drift By Electro-optic Theodolite","detection Method; Electro-optic Theodolite; Television Camera Frame Frequency Drift","https://lens.org/095-069-805-188-074"
"","DEYAN YANG; HUIEN ZHAO; JING SHEN; QIXIANG ZHANG; YAN ZHENG","0","","","1","DEYAN YANG; HUIEN ZHAO; JING SHEN; QIXIANG ZHANG; YAN ZHENG","A01H1/02","Agriculture","A01H: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> New Plants Or Processes For Obtaining Them; Plant Reproduction By Tissue Culture Techniques","","CN","China","CN 201010228489 A","2010","CN","China","2011-1-19","CN 101946688 A","2011","Bee Pollination Technology For Hybridization Of Generalized Chrysanthemum Plants","bee Pollination Technology; Generalized Chrysanthemum Plants","https://lens.org/196-204-704-367-939"
"UNIV BEI HANG","UNIV BEI HANG","5","G01C25/00; G06T2207/10012; G06T2207/30208; G06T7/002","","5","GUANGJUN ZHANG; JUNHUA SUN; MENG XIE; ZHEN LIU; ZHENZHONG WEI","G01B11/00; G01C25/00","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","CN","China","CN 201010259481 A","2010","CN","China","2011-2-16","CN 101975588 A","2011","Global Calibration Method And Device Of Rigid Rod Of Multisensor Vision Measurement System","global Calibration Method; Multisensor Vision Measurement System; Rigid Rod","https://lens.org/013-107-620-024-823"
"YANCHENG HUAIYUAN BEE TECHNOLOGY DEV CO LTD","YANCHENG HUAIYUAN BEE TECHNOLOGY DEV CO LTD","2","","","1","ZAIJIANG YANG","A01K67/033","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","CN","China","CN 200910232745 A","2009","CN","China","2011-6-1","CN 102077808 A","2011","Breeding Technique Of Wild Bumblebee","breeding Technique; Wild Bumblebee","https://lens.org/077-202-068-023-743"
"EADS (various locations)","EADS (various locations)","0","G06T2207/30241; G06T7/0042; G06T7/20; G06T7/2053","","9","MARC STURZEL","G06T7/00; G06T7/20","Computing","G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","","FR","France","FR 0855644 A","2008","CN","China","2011-7-13","CN 102124491 A","2011","Method And Device For Remotely Controlling A Camera On Board A Mobile Station","Mobile Station","https://lens.org/135-976-815-691-253"
"PARROT","PARROT","0","A63F2300/1093; A63H27/12; A63H30/04; G06K2009/3225; G06K9/2018; G06K9/3216","","11","CLAIRE JONCHERY; DERBANNE THOMAS; LEFEBURE MARTIN","A63F13/00; A63F13/04; A63F13/12; G06K9/32; G06K9/64","Sports; Computing","A63F: Human Necessities -> Sports; Games; Amusements -> Card, Board Or Roulette Games; Indoor Games Using Small Moving Playing Bodies; Video Games; Games Not Otherwise Provided For; G06K: Physics -> Computing; Calculating; Counting -> Recognition Of Data; Presentation Of Data; Record Carriers; Handling Record Carriers","","FR","France","FR 0806800 A","2008","CN","China","2011-11-9","CN 102238986 A","2011","Set Of Drones With Recognition Markers","Recognition Markers","https://lens.org/034-117-359-422-836"
"","","0","","","2","","A01K67/033","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","CN","China","CN 201110120228 A","2011","CN","China","2011-11-30","CN 102257989 A","2011","CN 102257989 A","CN 102257989","https://lens.org/035-141-775-011-696"
"LANXI HONGXIANG BIO TECHNOLOGY CO LTD","LANXI HONGXIANG BIO TECHNOLOGY CO LTD","4","","","2","LIHUA CHEN; XUJIANG HE; ZENG ZHIJIANG; ZHIPING WANG","A01K67/033","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","CN","China","CN 201110247002 A","2011","CN","China","2012-2-8","CN 102342264 A","2012","Method For Breeding High-quality Mite-resistant Bee Species","Breeding High-quality Mite-resistant Bee Species","https://lens.org/158-212-384-195-702"
"MAX PLANCK GESELLSCHAFT","MAX PLANCK GESELLSCHAFT","2","G05D1/005; G09B9/02; G09B9/48","","6","BUELTHOFF HEINRICH H; ROBUFFO GIORDANO PAOLO","G09B9/02; G09B9/48","Signs, Advertising","G09B: Physics -> Educating; Cryptography; Display; Advertising; Seals -> Educational Or Demonstration Appliances; Appliances For Teaching, Or Communicating With, The Blind, Deaf Or Mute; Models; Planetaria; Globes; Maps; Diagrams","","EP","European Patent Office","EP 2009001964 W","2009","CN","China","2012-2-15","CN 102356417 A","2012","Teleoperation Method And Human Robot Interface For Remote Control Of Machine By Human Operator","Human Operator; Human Robot Interface; Remote Control; teleoperation Method","https://lens.org/080-970-479-861-389"
"PARROT","PARROT","1","A63H27/12; G05D1/0858","","10","CALLOU FRANCOIS","G01D1/10","Measuring","G01D: Physics -> Measuring; Testing -> Measuring Not Specially Adapted For A Specific Variable; Arrangements For Measuring Two Or More Variables Not Covered By A Single Other Subclass; Tariff Metering Apparatus; Transferring Or Transducing Arrangements Not Specially Adapted For A Specific Variable; Measuring Or Testing Not Otherwise Provided For","","FR","France","FR 1057369 A","2010","CN","China","2012-7-4","CN 102538828 A","2012","Method For Piloting A Rotary-wing Drone With Multiple Rotors","Multiple Rotors; Rotary-wing Drone","https://lens.org/197-584-655-210-380"
"PARROT","PARROT","2","A63H27/12; A63H30/04; B64C2201/027; B64C2201/042; B64C2201/088; B64C2201/108; B64C2201/127; B64C2201/146; B64C2203/00; G05D1/0202; G08C17/02; G08C2201/93","","9","D HAEYER FREDERIC; MICHAEL RISCHMULLER","A63H27/20; A63H30/04; G05D1/10; G06F3/041","Sports; Control Systems; Computing","A63H: Human Necessities -> Sports; Games; Amusements -> Toys, E.G. Tops, Dolls, Hoops, Building Blocks; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables; G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing","","FR","France","FR 1151904 A","2011","CN","China","2012-9-19","CN 102671390 A","2012","Method For Piloting A Rotary-wing Drone With Multiple Rotors With Curved Steering","Curved Steering; Multiple Rotors; Rotary-wing Drone","https://lens.org/014-467-048-396-057"
"PARROT","PARROT","0","A63H27/12; G05D1/0858","","8","CALLOU FRANCOIS; MICHAEL RISCHMULLER","A63H27/133; A63H30/04; G05D1/08; G08C17/02","Sports; Control Systems; Signalling","A63H: Human Necessities -> Sports; Games; Amusements -> Toys, E.G. Tops, Dolls, Hoops, Building Blocks; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables; G08C: Physics -> Signalling -> Transmission Systems For Measured Values, Control Or Similar Signals","","FR","France","FR 1155779 A","2011","CN","China","2013-1-2","CN 102847324 A","2013","Method Of Dynamically Controlling The Attitude Of A Drone In Order To Execute A Flip Type Maneuver Automatically","Flip Type Maneuver","https://lens.org/112-605-986-042-613"
"UNIV YUNNAN","UNIV YUNNAN","0","","","1","ZHAO YUE; ZHONG LIANGXUAN; ZHOU BING","G06T7/00","Computing","G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","å¼ è™Ž: ""åŸºäºŽä¸¤ç›¸åŒåœ†çš„è‡ªæ ‡å®šæ–¹æ³•"", ã€Šä»ªå™¨ä»ªè¡¨å­¦æŠ¥ã€‹, vol. 31, no. 3, 31 March 2010 (2010-03-31), pages 618 - 624","CN","China","CN 201310082074 A","2013","CN","China","2013-5-22","CN 103116892 A","2013","Linear Solving Of Video Camera Internal Parameters By Utilizing Two Intersected Same Circles And Common Tangent","Common Tangent; linear Solving; Same Circles; Video Camera Internal Parameters","https://lens.org/121-162-781-623-189"
"PARROT","PARROT","0","A63H27/12; G01C5/005; G05D1/042","","8","BABEL MATHIEU; CALLOU FRANCOIS; SEYDOUX HENRI","G01S15/08","Direction Finding","G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves","","FR","France","FR 1252888 A","2012","CN","China","2013-10-23","CN 103364785 A","2013","Altitude Estimator For Rotary-wing Drone With Multiple Rotors","altitude Estimator; Multiple Rotors; Rotary-wing Drone","https://lens.org/173-143-305-469-072"
"","GE HONGSHAN","0","","","1","GE HONGSHAN","B64D7/00","Aircraft","B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft","","CN","China","CN 201210251579 A","2012","CN","China","2014-1-29","CN 103538721 A","2014","Space-based Orbital-transfer Drone","space-based Orbital-transfer Drone","https://lens.org/113-950-125-042-375"
"HEBEI JIUXIN DISASTER REDUCTION EQUIPMENT RES INST; TROOP LOGISTICS NO 66267 OF PLA","HEBEI JIUXIN DISASTER REDUCTION EQUIPMENT RES INST; TROOP LOGISTICS NO 66267 OF PLA","0","","","2","CHEN LIANQING; LV JUNWEI; NIU WEIBO; NIU YUEXU; WANG ZEMIN; WU CAIGANG; WU JIANMING; WU RUIBO; YANG XUEHAI; YAO XIAOHONG; ZHANG JINGHAO; ZHANG WUYIN; ZHAO LIANGLIANG; ZHOU GUIFENG","F42B12/20","Weapons","F42B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Explosive Charges, E.G. For Blasting; Fireworks; Ammunition","","CN","China","CN 201310484920 A","2013","CN","China","2014-2-5","CN 103557751 A","2014","Under-ice Fixed-depth Ice Breaking Bullet Capable Of Being Thrown Automatically And Based On Drone","under-ice Fixed-depth Ice Breaking Bullet","https://lens.org/079-225-412-598-082"
"UNIV CHANGCHUN SCIENCE & TECH","UNIV CHANGCHUN SCIENCE & TECH","0","","","2","CONG LIGANG; DI XIAOQIANG; LI HUA; LI PENGFEI; LI QI; QI HUI; SUN YIMING; YANG HUAMIN; ZHAI HONGYU; ZHANG YUXIN; ZHAO JIANPING","H04L29/06; H04L29/08","Electric Communication/Television","H04L: Electricity -> Electric Communication Technique -> Transmission Of Digital Information, E.G. Telegraphic Communication","","CN","China","CN 201310671253 A","2013","CN","China","2014-4-2","CN 103701777 A","2014","Remote Network Attack And Defense Virtual Simulation System Based On Virtualization And Cloud Technology","Cloud Technology; Defense Virtual Simulation System; remote Network Attack","https://lens.org/184-224-146-696-035"
"RENJI HOSPITAL AFFILIATED TO SHANGHAI JIAOTONG UNIV SCHOOL MEDICINE","RENJI HOSPITAL AFFILIATED TO SHANGHAI JIAOTONG UNIV SCHOOL MEDICINE","0","","","2","GAO WEIQIANG; ZHOU ZHICHENG; ZHU HE","G01N33/68","Measuring","G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties","VIDAKHATAMIANFAR: ""TRIM59, a novel multiple cancer biomarker for immunohistochemical detection of tumorigenesis"", ã€ŠBMJ OPENã€‹, vol. 2, 31 December 2012 (2012-12-31), pages 1 - 10;;å§œé£ž: ""å°é¼ TRIM59è›‹ç™½å¤šå…‹éš†æŠ—ä½“çš„åˆ¶å¤‡ã€é‰´å®šä¸Žåˆæ­¥åº”ç”¨"", ã€Šè¥¿åŒ—å†œæž—ç§‘æŠ€å¤§å­¦å­¦æŠ¥( è‡ªç„¶ç§‘å­¦ç‰ˆ)ã€‹, vol. 37, no. 12, 31 December 2009 (2009-12-31), pages 11 - 17","CN","China","CN 201410131478 A","2014","CN","China","2014-7-30","CN 103954767 A","2014","Novel Application Of Trim59 Protein For Diagnosis And Treatment For Stomach Cancer","novel Application; Stomach Cancer; Trim59 Protein","https://lens.org/030-147-541-923-647"
