applicants_orgs_all,publication_number,applicants_orgs_all_1
Unilever Plc,EP0751713,Unilever Plc
Ericsson Telefon Ab L M,EP0922364,Ericsson Telefon Ab L M
Ericsson Telefon Ab L M,EP0922363,Ericsson Telefon Ab L M
"Graphic Packaging International, Inc",EP1452071,"Graphic Packaging International, Inc"
Nokia Corporation,EP1370050,Nokia Corporation
Koninklijke Philips Electronics N.V,EP1384171,Koninklijke Philips Electronics N.V
Koninklijke Philips Electronics N.V,EP1384170,Koninklijke Philips Electronics N.V
Koninklijke Philips Electronics N.V,EP1384167,Koninklijke Philips Electronics N.V
Kao Corp,EP1407674,Kao Corp
Hoffmann La Roche,EP2284747,Hoffmann La Roche
Ct Ingenieria Genetica Biotech,EP2011509,Ct Ingenieria Genetica Biotech
Ct Ingenieria Genetica Biotech,EP2011511,Ct Ingenieria Genetica Biotech
Gen Mills Marketing Inc,EP1635644,Gen Mills Marketing Inc
Mycology Techno Corp,EP1621607,Mycology Techno Corp
Microsoft Corporation,EP1571579,Microsoft Corporation
Patentsmith Corporation,EP0517496,Patentsmith Corporation
The Procter & Gamble Company,EP0526526,The Procter & Gamble Company
The Pillsbury Company,EP0617896,The Pillsbury Company
The Procter & Gamble Company,EP0602156,The Procter & Gamble Company
National Starch And Chemical Investment Holding Corporation,EP0363741,National Starch And Chemical Investment Holding Corporation
Campbell Soup Company,EP0303511,Campbell Soup Company
Kraft Foods Global Brands Llc,EP1733811,Kraft Foods Global Brands Llc
Novartis Ag,EP1756265,Novartis Ag
"Graphic Packaging International, Inc",EP1886936,"Graphic Packaging International, Inc"
"Hewlett-Packard Development Company, L.P",EP1941696,"Hewlett-Packard Development Company, L.P"
Verint Systems Ltd,EP2403288,Verint Systems Ltd
Meadwestvaco Packaging Systems,EP2565125,Meadwestvaco Packaging Systems
"Sun Microsystems, Inc",EP1086419,"Sun Microsystems, Inc"
Danisco Usa Inc,EP1154695,Danisco Usa Inc
The Pillsbury Company,EP0929224,The Pillsbury Company
Enersyst Dev Ct Inc,EP0830805,Enersyst Dev Ct Inc
United Biscuits (Uk) Limited,EP1443317,United Biscuits (Uk) Limited
Integral Technologies Inc,EP1467598,Integral Technologies Inc
Koninklijke Philips Electronics N.V,EP1410253,Koninklijke Philips Electronics N.V
Vandemoortele Nv,EP1698229,Vandemoortele Nv
Research In Motion Limited,CA2805273,Research In Motion Limited
Health Protection Agency,CA2736151,Health Protection Agency
Kraft Foods Global Brands Llc,CA2752299,Kraft Foods Global Brands Llc
Delavau L.L.C,CA2762120,Delavau L.L.C
Meadwestvaco Packaging Systems,CA2775989,Meadwestvaco Packaging Systems
Cryovac Inc,CA2770618,Cryovac Inc
Left Right Research Llc,CA2767631,Left Right Research Llc
Research In Motion Limited,CA2772778,Research In Motion Limited
Research In Motion Limited,CA2772821,Research In Motion Limited
"Blackboard, Inc",CA2723646,"Blackboard, Inc"
Bopa Ireland Limited,CA2423934,Bopa Ireland Limited
Lemont Aircraft Corporation,CA2109608,Lemont Aircraft Corporation
Centro De Ingenieria Genetica Y Biotecnologia,CA2547537,Centro De Ingenieria Genetica Y Biotecnologia
"Kraft Foods Holdings, Inc",CA2550103,"Kraft Foods Holdings, Inc"
The Pillsbury Company,CA2485260,The Pillsbury Company
Chiron Corporation,CA2485992,Chiron Corporation
"General Mills, Inc",CA2525673,"General Mills, Inc"
Integral Technologies Inc,CA2464923,Integral Technologies Inc
The Pillsbury Company,CA2449725,The Pillsbury Company
"General Mills, Inc",CA2566377,"General Mills, Inc"
Archer-Daniels-Midland Company,CA2571013,Archer-Daniels-Midland Company
"New York Blood Center, Inc",CA2579055,"New York Blood Center, Inc"
"Graphic Packaging International, Inc",CA2586472,"Graphic Packaging International, Inc"
Chiron Corporation,CA2559371,Chiron Corporation
Massive Incorporated,CA2633895,Massive Incorporated
Google Inc,CA2624126,Google Inc
"Smurfit-Stone Container Enterprises, Inc",CA2632465,"Smurfit-Stone Container Enterprises, Inc"
E Z Media Inc,CA2590929,E Z Media Inc
"General Mills, Inc",CA2594493,"General Mills, Inc"
Novartis Vaccines & Diagnostic,CA2595128,Novartis Vaccines & Diagnostic
Mycology Techno Corp,CA2523895,Mycology Techno Corp
The Procter & Gamble Company,ZA199505398,The Procter & Gamble Company
Patentsmith Corporation,CA2223752,Patentsmith Corporation
Telefonaktiebolaget Lm Ericsson (Publ,CA2264240,Telefonaktiebolaget Lm Ericsson (Publ
Telefonaktiebolaget Lm Ericsson (Publ,CA2264264,Telefonaktiebolaget Lm Ericsson (Publ
Telefonaktiebolaget Lm Ericsson (Publ,CA2264241,Telefonaktiebolaget Lm Ericsson (Publ
The Pillsbury Company,CA2266692,The Pillsbury Company
Chiron Corporation,CA2283401,Chiron Corporation
Bopa Ireland Limited,ZA200302498,Bopa Ireland Limited
Institut Pasteur,ZA199808570,Institut Pasteur
Centro De Ingenieria Genetica Y Biotecnologia,CA2649321,Centro De Ingenieria Genetica Y Biotecnologia
"Pressco Technology, Inc",CA2754572,"Pressco Technology, Inc"
"Vibratory Solutions, Llc",CA2719158,"Vibratory Solutions, Llc"
Ymax Communications Corp,CA2687576,Ymax Communications Corp
"General Mills, Inc",CA2687086,"General Mills, Inc"
"General Mills, Inc",CA2683539,"General Mills, Inc"
Delavau L.L.C,CA2657464,Delavau L.L.C
Centro De Ingenieria Genetica Y Biotecnologia,CA2647465,Centro De Ingenieria Genetica Y Biotecnologia
Forbes Medi-Tech Inc,CA2673010,Forbes Medi-Tech Inc
"Quadlux, Inc",CA2303216,"Quadlux, Inc"
Servi Technologies Inc,CA2309561,Servi Technologies Inc
"Graphic Packaging International, Inc",CA2463736,"Graphic Packaging International, Inc"
"Smartmedia, Inc",CA2380454,"Smartmedia, Inc"
Societe Des Produits Nestle S.A,CA2388291,Societe Des Produits Nestle S.A
The Procter & Gamble Company,CA2420030,The Procter & Gamble Company
"Murex Securities, Ltd",CA2335128,"Murex Securities, Ltd"
Webtv Networks Inc,EP1251653,Webtv Networks Inc
Webtv Networks Inc,EP0900491,Webtv Networks Inc
Google Inc,CA2823859,Google Inc
Mitel Networks Corp,CA2747144,Mitel Networks Corp
Delavau L.L.C,EP2338345,Delavau L.L.C
Google Inc,EP1955211,Google Inc
Meadwestvaco Packaging Systems,EP2483168,Meadwestvaco Packaging Systems
Intercontinental Great Brands Llc,EP2735233,Intercontinental Great Brands Llc
Novartis Vaccines & Diagnostic,EP1506008,Novartis Vaccines & Diagnostic
Novartis Vaccines & Diagnostic,EP1593392,Novartis Vaccines & Diagnostic
The Procter & Gamble Company,EP1311343,The Procter & Gamble Company
Intercontinental Great Brands Llc,EP2398331,Intercontinental Great Brands Llc
"Graphic Packaging International, Inc",EP1960289,"Graphic Packaging International, Inc"
Novartis Ag,EP2482847,Novartis Ag
The Procter & Gamble Company,US4789664,The Procter & Gamble Company
The Pillsbury Company,US4970360,The Pillsbury Company
House Foods Corp,US5522309,House Foods Corp
"Aladdin Industries, Llc",US6147337,"Aladdin Industries, Llc"
Pactiv Corporation,US6257401,Pactiv Corporation
"Rlt Acquisition, Inc",US6015344,"Rlt Acquisition, Inc"
"Old Mexico Manufacturing, Inc",US6017576,"Old Mexico Manufacturing, Inc"
Two Way Tv Limited,US5905523,Two Way Tv Limited
"Kraft Foods Holdings, Inc",US20030185943,"Kraft Foods Holdings, Inc"
Nestec,US20030000935,Nestec
Pactiv Corporation,US6349847,Pactiv Corporation
"Sun Microsystems, Inc",US6487538,"Sun Microsystems, Inc"
Nestec,US6455816,Nestec
Fort James Corporation,US20020175164,Fort James Corporation
International Business Machines Corporation,US20020019870,International Business Machines Corporation
"Walker Digital, Llc",US20040242332,"Walker Digital, Llc"
Nestec,US20030024921,Nestec
Accenture Global Services,US20030064716,Accenture Global Services
Nestec,US20040086606,Nestec
"Kraft Foods Holdings, Inc",US20060151339,"Kraft Foods Holdings, Inc"
"Opensource, Inc",US20050004922,"Opensource, Inc"
Kraft Foods Global Brands Llc,US20070178212,Kraft Foods Global Brands Llc
"Sweet Life, Inc",US20070196540,"Sweet Life, Inc"
Microsoft Corporation,US20070255552,Microsoft Corporation
"Lancer Partnership, Ltd",US20060276929,"Lancer Partnership, Ltd"
"Lancer Partnership, Ltd",US20060276928,"Lancer Partnership, Ltd"
"Kraft Foods Holdings, Inc",US20060286246,"Kraft Foods Holdings, Inc"
"Pelago, Inc",US20070237096,"Pelago, Inc"
"Nuance Communications, Inc",US20080064371,"Nuance Communications, Inc"
Yahoo! Inc,US20080243824,Yahoo! Inc
Yahoo! Inc,US20080243822,Yahoo! Inc
Nu-Vu Food Service Systems,US20080032018,Nu-Vu Food Service Systems
"Money Mailer, Llc",US20080117448,"Money Mailer, Llc"
"Blackboard, Inc",US20090281873,"Blackboard, Inc"
General Motors Corporation,US20090150167,General Motors Corporation
"San-Ei Gen F.F.I., Inc",US20090117238,"San-Ei Gen F.F.I., Inc"
"Move, Inc",US20080082397,"Move, Inc"
"Graphic Packaging International, Inc",US20080006623,"Graphic Packaging International, Inc"
Verizon Data Services Llc,US7634067,Verizon Data Services Llc
Yahoo! Inc,US20090055398,Yahoo! Inc
Targus Information Corporation,US20090006077,Targus Information Corporation
"Ning, Inc",US7603352,"Ning, Inc"
"Embarq Holdings Company, Llc",US20090240538,"Embarq Holdings Company, Llc"
Panasonic Corp,US20090206071,Panasonic Corp
Sensient Colors Inc,US20100055264,Sensient Colors Inc
"Days Nutrition , Inc",US20090148557,"Days Nutrition , Inc"
Verizon Data Services Llc,US20100073453,Verizon Data Services Llc
"Inventor Holdings, Llc",US20100167824,"Inventor Holdings, Llc"
"Mapquest, Inc",US20110145228,"Mapquest, Inc"
Sap Ag,US20100131570,Sap Ag
Sap Ag,US20100131568,Sap Ag
Sap Ag,US20100131565,Sap Ag
"Cepia, Llc",US20100261405,"Cepia, Llc"
Verizon Patent And Licensing Inc,US20100246784,Verizon Patent And Licensing Inc
Board Of Trustees Of Michigan State University,US20110225241,Board Of Trustees Of Michigan State University
"Nuance Communications, Inc",US20110255671,"Nuance Communications, Inc"
"Groupon, Inc",US20110151892,"Groupon, Inc"
Yahoo! Inc,US20110302034,Yahoo! Inc
Clarcor Inc,US20110114554,Clarcor Inc
Google Inc,US08346881,Google Inc
Google Inc,US08347093,Google Inc
"T-Mobile Usa, Inc",US08428561,"T-Mobile Usa, Inc"
Verizon Patent And Licensing Inc,US20120272263,Verizon Patent And Licensing Inc
Nippon Shakeys Kk,JP11243846,Nippon Shakeys Kk
Nichiwa Denki Kk,JP2009005593,Nichiwa Denki Kk
Lion Foods Kk,JP2000102340,Lion Foods Kk
Nisshin Flour Milling Inc,JP2006129814,Nisshin Flour Milling Inc
Nippon Shakeys Kk,JP11243845,Nippon Shakeys Kk
Showa Insatsu Kako Kk,JP2010194038,Showa Insatsu Kako Kk
Nitto Seifun Kk,JP2004267146,Nitto Seifun Kk
Masuda Renga Kk,JP2002247946,Masuda Renga Kk
Nagaoka Seisakusho:Kk,JP2000253801,Nagaoka Seisakusho:Kk
Jeonbuk City Management Institute,KR1020120086991,Jeonbuk City Management Institute
Masuda Renga Kk,JP2003235436,Masuda Renga Kk
Nitto Seifun Kk,JP2004267145,Nitto Seifun Kk
"Hamil F&C Co., Ltd",KR100793742,"Hamil F&C Co., Ltd"
"Hamil F&C Co., Ltd",KR100793731,"Hamil F&C Co., Ltd"
"Chamsal Dream Co., Ltd",KR1020120018514,"Chamsal Dream Co., Ltd"
Ooshio Surume:Kk,JP11032662,Ooshio Surume:Kk
"Thermal Solutions, Inc",US6512211,"Thermal Solutions, Inc"
Thermohauser Gmbh,DE102004047570,Thermohauser Gmbh
The Unger Company,US5346312,The Unger Company
Unilever Plc,WO2011138163,Unilever Plc
Haifa Chemicals South Ltd,IL142175,Haifa Chemicals South Ltd
Novozymes A/S,US20040146604,Novozymes A/S
Amano Enzyme Inc,US20110151055,Amano Enzyme Inc
Novozymes A/S,WO2004054376,Novozymes A/S
Amano Enzyme Inc,EP2305047,Amano Enzyme Inc
Novozymes A/S,US20040151801,Novozymes A/S
Novozymes A/S,WO2004054377,Novozymes A/S
Novozymes A/S,EP1515612,Novozymes A/S
Novozymes A/S,WO2005089562,Novozymes A/S
Unilever Plc,WO2004052104,Unilever Plc
Zi-Yavne Food Industries Ltd,WO2007125525,Zi-Yavne Food Industries Ltd
Novozymes A/S,WO2003101212,Novozymes A/S
Novozymes A/S,CA2576817,Novozymes A/S
Unilever Plc,WO2003101223,Unilever Plc
Unilever Plc,WO2000072704,Unilever Plc
Kellogg Company,US6267998,Kellogg Company
Unilever Plc,WO2008119618,Unilever Plc
Paagen Ab,WO2012044242,Paagen Ab
Meiji Univ,JP2006296307,Meiji Univ
Kaneka San Spice:Kk,JP2001299291,Kaneka San Spice:Kk
Tome Rice Service:Kk,JP2011083252,Tome Rice Service:Kk
Novozymes A/S,US20070105200,Novozymes A/S
Korea Food Development Institute,KR100780806,Korea Food Development Institute
"Woongjin Coway Co., Ltd",WO2011065657,"Woongjin Coway Co., Ltd"
"Centro Di Ricerca, Sviluppo E Studi Superiori In Sardegna Societa A Responsabilita Limitata",US20140165461,"Centro Di Ricerca, Sviluppo E Studi Superiori In Sardegna Societa A Responsabilita Limitata"
Orusen:Kk,JP2000318768,Orusen:Kk
Novozymes A/S,WO2005104859,Novozymes A/S
Unilever Plc,WO2004017760,Unilever Plc
Innovative Cereal System Llc,US20090204552,Innovative Cereal System Llc
Innovative Cereal System Llc,US20130173502,Innovative Cereal System Llc
Kellogg Company,WO2000059309,Kellogg Company
"Centro Di Ricerca, Sviluppo E Studi Superiori In Sardegna Societa A Responsabilita Limitata",WO2013014606,"Centro Di Ricerca, Sviluppo E Studi Superiori In Sardegna Societa A Responsabilita Limitata"
Nisshin Seifun Group Inc,JP2006025657,Nisshin Seifun Group Inc
Kansas State University Research Foundation,WO2013192436,Kansas State University Research Foundation
Toshiba Consumer Marketing Corporation,KR1020060132473,Toshiba Consumer Marketing Corporation
Nichirei Corp,JP2001120424,Nichirei Corp
Mitsubishi Electric Home Appliance Co Ltd,JP2006280441,Mitsubishi Electric Home Appliance Co Ltd
Snow Brand Milk Prod Co Ltd,JP2005350079,Snow Brand Milk Prod Co Ltd
"Vsl Pharmaceuticals, Inc",WO2006097415,"Vsl Pharmaceuticals, Inc"
Commonwealth Scientific And Industrial Research Organisation,CA2769311,Commonwealth Scientific And Industrial Research Organisation
Unilever Plc,EP1080643,Unilever Plc
Novartis Vaccines & Diagnostic,EP2278008,Novartis Vaccines & Diagnostic
Commonwealth Scientific And Industrial Research Organisation,WO2011011833,Commonwealth Scientific And Industrial Research Organisation
Richter Company,US20030206994,Richter Company
Richter Company,US20040028782,Richter Company
Magic Mold Corporation,US5669647,Magic Mold Corporation
Magic Mold Corporation,US5673955,Magic Mold Corporation
Nat Food Res,EP0796558,Nat Food Res
Takaki Bakery Co Ltd,EP2168446,Takaki Bakery Co Ltd
Roche Diagnostics Gmbh,EP1918837,Roche Diagnostics Gmbh
Nisshin Flour Milling Inc,CA2194944,Nisshin Flour Milling Inc
"National Food Research Institute, Ministry Of Agriculture, Forestry And Fisheries",US6013298,"National Food Research Institute, Ministry Of Agriculture, Forestry And Fisheries"
Pioneer Corporation,US20010013031,Pioneer Corporation
G. S. Blodgett Corporation,EP0779964,G. S. Blodgett Corporation
G. S. Blodgett Corporation,CA2197886,G. S. Blodgett Corporation
Novozymes A/S,US20080220123,Novozymes A/S
Novozymes A/S,WO2007047592,Novozymes A/S
Takaki Bakery Co Ltd,US20100143544,Takaki Bakery Co Ltd
Nisshin Flour Milling Inc,US6042867,Nisshin Flour Milling Inc
The Western Union Company,CA2578397,The Western Union Company
G. S. Blodgett Corporation,US5421317,G. S. Blodgett Corporation
The Trustees Of The J.C. Drohan Company Trust Fund,WO2006131708,The Trustees Of The J.C. Drohan Company Trust Fund
Roche Diagnostics Gmbh,WO2008052374,Roche Diagnostics Gmbh
"Teepak Investments, Inc",WO2001080653,"Teepak Investments, Inc"
Comissao Nacional De Energia Nuclear,WO2007106965,Comissao Nacional De Energia Nuclear
Univ Rovira I Virgili,EP2327711,Univ Rovira I Virgili
G. S. Blodgett Corporation,WO1996007057,G. S. Blodgett Corporation
Universitat De Les Illes Balears,CA2375969,Universitat De Les Illes Balears
Rubbermaid Incorporated,US4542271,Rubbermaid Incorporated
The Western Union Company,US20030158818,The Western Union Company
"T Intellecutal Property I, L.P",US20050063526,"T Intellecutal Property I, L.P"
Verizon Patent And Licensing Inc,US20140278589,Verizon Patent And Licensing Inc
"Wellgen, Inc",WO2006010132,"Wellgen, Inc"
Sony Pictures Entertainment Inc,US20110082773,Sony Pictures Entertainment Inc
The Western Union Company,US20040186773,The Western Union Company
The Best Raffaello-S.R.L,WO2003004360,The Best Raffaello-S.R.L
"Myers Wolin, Llc",WO2013180751,"Myers Wolin, Llc"
Novozymes A/S,WO2009007398,Novozymes A/S
United States Department Of Agriculture,WO2010045532,United States Department Of Agriculture
United States Department Of Agriculture,WO2010045535,United States Department Of Agriculture
Sony Pictures Entertainment Inc,WO2011041664,Sony Pictures Entertainment Inc
Smeg Spa,EP1595453,Smeg Spa
Storci S P A,EP1693103,Storci S P A
Storci S P A,CA2535271,Storci S P A
Makhteshim Chemical Works Ltd,IL104473,Makhteshim Chemical Works Ltd
"Toyota Motor Engineering & Manufacturing North America, Inc",US20090204600,"Toyota Motor Engineering & Manufacturing North America, Inc"
The Western Union Company,WO2006026061,The Western Union Company
"Kraft Foods Holdings, Inc",CA2540458,"Kraft Foods Holdings, Inc"
Free Da Connection Services Inc,CA2583189,Free Da Connection Services Inc
Novozymes A/S,US20070154595,Novozymes A/S
Elbex Video Ltd,WO2005125189,Elbex Video Ltd
"Nutrition Americas, Inc",US20050064078,"Nutrition Americas, Inc"
"World Theatre, Inc",US20060293971,"World Theatre, Inc"
U.S. Philips Corporation,WO2004001596,U.S. Philips Corporation
Consiglio Nazionale Delle Ricerche,WO1992021378,Consiglio Nazionale Delle Ricerche
Unilever Plc,WO2003000096,Unilever Plc
Verizon Patent And Licensing Inc,US20140056421,Verizon Patent And Licensing Inc
National Research Council Of Canada,CA2740716,National Research Council Of Canada
"Telcordia Technologies, Inc",CA2685910,"Telcordia Technologies, Inc"
Amurol Products Company,US20070014889,Amurol Products Company
"Perfume International, Inc",US5018974,"Perfume International, Inc"
Establissements Jean Charvet,US4996405,Establissements Jean Charvet
Kraft Foods R & D Inc,US20050208193,Kraft Foods R & D Inc
Meiji Dairies Corporation,US20050137261,Meiji Dairies Corporation
Univ Toronto,EP2158918,Univ Toronto
Soremartec Sa,EP0956782,Soremartec Sa
Roche Diagnostics Gmbh,EP1972270,Roche Diagnostics Gmbh
Ab Agri Limited,CA2793341,Ab Agri Limited
President And Fellows Of Harvard College,CA2742989,President And Fellows Of Harvard College
Universitat Konstanz,CA2387510,Universitat Konstanz
Fylde Thermal Engineering Limited,CA2161899,Fylde Thermal Engineering Limited
The Governing Council Of The University Of Toronto,CA2676518,The Governing Council Of The University Of Toronto
Nagase Chemtex Corp,EP2764778,Nagase Chemtex Corp
Free Da Connection Services Inc,WO2006037218,Free Da Connection Services Inc
Unilever Plc,WO2005063584,Unilever Plc
Paynection,US20130103578,Paynection
The Procter & Gamble Company,US20040058046,The Procter & Gamble Company
Roche Diagnostics Gmbh,EP2284747,Roche Diagnostics Gmbh
Universiteit Leiden,CA2485992,Universiteit Leiden
Univ Leiden,EP1506008,Univ Leiden
Nitto Seifun Kk,JP11243846,Nitto Seifun Kk
Nitto Seifun Kk,JP11243845,Nitto Seifun Kk
Yamajun:Kk,JP2010194038,Yamajun:Kk
Nagaoka Seisakusho:Kk,JP2002247946,Nagaoka Seisakusho:Kk
